workclass,education,marital_status,occupation,relationship,race,sex,native_country,age_bin,education_years_bin,hours_bin,high_income
Federal-gov,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
State-gov,somecollege,Divorced,Adm-clerical,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,somecollege,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Wife,White,Female,Cuba,35-44,9-12,standard_40,>50K
State-gov,somecollege,Never-married,Prof-specialty,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Divorced,Adm-clerical,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Transport-moving,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Prof-specialty,Not-in-family,White,Female,Germany,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,pre-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Never-married,Exec-managerial,Unmarried,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Widowed,Sales,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Adm-clerical,Unmarried,White,Female,Poland,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Adm-clerical,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Adm-clerical,Own-child,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Machine-op-inspct,Wife,Other,Female,Puerto-Rico,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-spouse-absent,Farming-fishing,Not-in-family,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Separated,Tech-support,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Other-relative,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Sales,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,college,Never-married,Prof-specialty,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Priv-house-serv,Other-relative,White,Female,Poland,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,somecollege,Never-married,Other-service,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Machine-op-inspct,Own-child,White,Female,Cuba,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Prof-specialty,Own-child,White,Female,United-States,35-44,9-12,standard_40,>50K
Local-gov,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Other-service,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Widowed,Handlers-cleaners,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Male,Ecuador,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Tech-support,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Unmarried,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
State-gov,somecollege,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Sales,Wife,White,Female,Canada,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Prof-specialty,Wife,White,Female,Canada,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Priv-house-serv,Not-in-family,White,Female,Hungary,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Divorced,Sales,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Unmarried,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,prof_doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,Canada,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Separated,Craft-repair,Not-in-family,White,Male,Germany,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Separated,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Machine-op-inspct,Unmarried,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Machine-op-inspct,Not-in-family,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,prof_doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,college,Never-married,Tech-support,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,college,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Separated,Machine-op-inspct,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Widowed,Exec-managerial,Unmarried,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Sales,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,Italy,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Widowed,Farming-fishing,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Other-relative,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Adm-clerical,Not-in-family,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Prof-specialty,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Married-spouse-absent,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Craft-repair,Unmarried,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Transport-moving,Unmarried,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Other-service,Husband,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Handlers-cleaners,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Machine-op-inspct,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Adm-clerical,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Widowed,Machine-op-inspct,Not-in-family,White,Female,Ecuador,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Separated,Transport-moving,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Separated,Farming-fishing,Other-relative,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,college,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Adm-clerical,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Divorced,Exec-managerial,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Divorced,Priv-house-serv,Unmarried,White,Female,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Transport-moving,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Machine-op-inspct,Other-relative,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Other-service,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Exec-managerial,Unmarried,Black,Female,Jamaica,35-44,9-12,standard_40,<=50K
Private,college,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Widowed,Craft-repair,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,Taiwan,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,Italy,35-44,9-12,standard_40,<=50K
Local-gov,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Tech-support,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Federal-gov,somecollege,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Local-gov,pre-college,Widowed,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Male,India,35-44,9-12,standard_40,>50K
Private,college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,Taiwan,35-44,9-12,standard_40,<=50K
Private,college,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Adm-clerical,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,Black,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,somecollege,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-inc,college,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Separated,Prof-specialty,Other-relative,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Never-married,Craft-repair,Other-relative,Amer-Indian-Eskimo,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Other-service,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,Iran,35-44,9-12,standard_40,<=50K
Local-gov,college,Divorced,Tech-support,Not-in-family,White,Female,England,35-44,9-12,standard_40,>50K
Private,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,Mexico,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Transport-moving,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Sales,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Handlers-cleaners,Other-relative,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Farming-fishing,Husband,Other,Male,Mexico,35-44,9-12,standard_40,<=50K
State-gov,somecollege,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Local-gov,somecollege,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,pre-college,Married-spouse-absent,Priv-house-serv,Not-in-family,White,Female,Mexico,35-44,9-12,standard_40,<=50K
Private,college,Never-married,Sales,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,Philippines,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Other-service,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
State-gov,pre-college,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
State-gov,pre-college,Never-married,Other-service,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Widowed,Sales,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Exec-managerial,Unmarried,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,prof_doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
Self-emp-not-inc,somecollege,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,35-44,9-12,standard_40,>50K
Private,somecollege,Never-married,Sales,Own-child,Black,Female,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Handlers-cleaners,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,somecollege,Divorced,Other-service,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Other-service,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-not-inc,pre-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Vietnam,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Other-service,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Self-emp-inc,college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,35-44,9-12,standard_40,>50K
State-gov,somecollege,Divorced,Adm-clerical,Unmarried,White,Female,United-States,35-44,9-12,standard_40,<=50K
Local-gov,somecollege,Never-married,Prof-specialty,Other-relative,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,somecollege,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,35-44,9-12,standard_40,<=50K
Private,pre-college,Never-married,Prof-specialty,Own-child,White,Female,United-States,35-44,9-12,standard_40,<=50K
